Value,area,type,country,percent,id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
88293,0.032808445,artificial,IRAN,-9.076307109,1,,,0.0184815,0.024642,0.025412063,0.024642,0.024642,0.024642,0.005390438,0.003850313,0.007700625,0.008470688,0.017711438,0.024642,0.025412063,0.020791688,0.001540125,0.023101875,0.004620375,0.02156175,0.007700625,,0.020791688,0.024642,0.010010813,0.013091063,0.006930563,,0.011550938,0.02156175,0.008470688
91474,0.119468212,dam,TURKEY,-23.01133566,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097797938,0.099338063,0.000770063,0.0061605,0.006930563
158555,0.032772601,artificial,GEORGIA,-2.672451829,1,,,,,,,,,0.020791688,0.026952188,0.024642,0.014631188,0.017711438,0.0184815,0.026952188,0.026952188,0.025412063,0.024642,0.020791688,0.022331813,0.026952188,0.004620375,0.001540125,0.011550938,0.008470688,0.001540125,0.006930563,0.026182125,0.016171313,0.001540125,0.001540125
18865,0.119447567,dam,TURKEY,-0.494883671,2,0.198676125,0.197136,0.197136,0.197136,0.197136,0.197136,0.197136,0.197136,0.171723938,0.1786545,0.15709275,0.177114375,0.198676125,0.198676125,0.197136,0.197906063,0.19405575,0.191745563,0.174804188,0.197136,0.189435375,0.192515625,0.15709275,0.1909755,0.197906063,0.155552625,0.15709275,0.10164825,0.197906063,0.198676125,0.198676125
161632,0.032741807,artificial,AZERBAIJAN,3.057501645,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023871938,0.024642,0.026182125,0.028492313,0.026952188
48816,0.032736182,artificial,JORDAN,1.820254183,1,,,,,,,,,,,,,,,,,,,,,,,,0.019251563,0.020021625,0.022331813,0.020791688,0.020791688,0.020791688,0.022331813,0.025412063
161540,0.03271227,artificial,AZERBAIJAN,-0.388580822,1,,0.035422875,0.035422875,0.035422875,0.035422875,0.029262375,0.029262375,0.029262375,0.016941375,0.029262375,0.02772225,0.03388275,0.033112688,0.03388275,0.00308025,0.00308025,0.032342625,0.0061605,0.02156175,0.013861125,0.017711438,,0.022331813,0.025412063,0.03388275,0.026952188,0.03388275,0.038503125,0.037733063,,
88786,0.032684863,artificial,IRAN,-0.785340102,1,,,,,,,,,,,,,,,,,0.02156175,0.020791688,0.02156175,0.020791688,0.019251563,0.019251563,0.020791688,0.019251563,0.019251563,0.023101875,0.02156175,0.022331813,0.023101875,0.023101875,0.02772225
79843,0.032631155,artificial,SYRIAN ARAB REPUBLIC,-1.819352598,1,0.025412063,0.025412063,0.025412063,0.025412063,0.025412063,0.025412063,0.025412063,0.025412063,0.013091063,,0.00924075,0.002310188,0.007700625,0.008470688,0.016171313,0.007700625,0.00924075,,,0.0184815,0.016171313,,0.000770063,,0.00308025,0.00308025,0.001540125,,0.000770063,0.002310188,0.002310188
65932,0.032629006,artificial,IRAQ,5.94733889,1,,,,,,,,,,,,,,,,,,,,,,,0.007700625,0.014631188,,,,,,0.019251563,0.028492313
155578,0.119177289,dam,TURKEY,-0.001137591,2,,,,,,0.1047285,0.1047285,0.1047285,0.1047285,0.117819563,0.117819563,0.098568,0.117819563,0.100878188,0.114739313,0.1170495,0.100108125,0.103958438,0.1047285,0.093947625,0.103958438,0.11396925,0.090867375,0.0800865,0.073155938,0.12012975,0.112429125,0.120899813,0.113199188,0.12012975,0.115509375
65867,0.032591712,artificial,IRAN,0.417666285,1,0.000770063,0.000770063,0.002310188,0.002310188,0.002310188,0.001540125,0.001540125,0.001540125,0.010010813,0.010010813,0.008470688,0.006930563,0.000770063,0.008470688,,,0.0061605,,,,,,,,,,0.002310188,0.004620375,0.00308025,0.011550938,0.013091063
154436,0.119135737,dam,TURKEY,1.059949521,2,0.056214563,0.056214563,0.056214563,0.056214563,0.056214563,0.056214563,0.056214563,0.056214563,0.139381313,0.140151375,0.140921438,0.124750125,0.140921438,0.128600438,0.140921438,0.140921438,0.140921438,0.077776313,0.136301063,0.139381313,0.139381313,0.137841188,0.133990875,0.140151375,0.140921438,0.136301063,0.140151375,0.135531,0.140151375,0.1416915,0.142461563
156357,0.118892469,dam,TURKEY,0.571050479,2,,0.116279438,0.116279438,0.116279438,0.116279438,0.116279438,0.116279438,0.116279438,0.131680688,0.133220813,0.127830375,0.137071125,0.135531,0.127830375,0.13245075,0.128600438,0.096257813,0.133990875,0.10780875,0.135531,0.124750125,0.1293705,0.12629025,0.130140563,0.098568,0.145541813,0.144001688,0.146311875,0.147081938,0.150162188,0.143231625
154987,0.118886948,dam,TURKEY,5.451039517,2,,,,,,,,,,0.001540125,,,,,,,,,,0.0061605,0.127830375,0.130140563,0.130140563,0.12629025,0.130140563,0.124750125,0.130140563,0.12629025,0.130140563,0.130910625,0.130140563
